"sent_n","ISO_language","coll","best","dstar","q1","q2","type","sent_numb","omega"
"16","ind","PSUD","7","4","0.7008","0.315","6-7",55,0.881874549620692
"16","ind","PUD","4","3","0.6142","0.3322","3-4",55,0.87207911318108
"16","isl","PSUD","3","3","0.6708","0.3946","3-4",51,0.90755276719653
"16","isl","PUD","4","4","0.5238","0.3492","3-4",51,0.868851869419434
"16","ita","PSUD","4","4","0.6408","0.2707","3-4",43,0.89218836941953
"16","ita","PUD","4","6","0.4909","0.2611","3-4",43,0.857419159527165
"16","jpn","PSUD","7","5","0.8727","0.2764","6-7",26,0.817587568477351
"16","jpn","PUD","4","5","0.5384","0.1676","3-4",26,0.836338507428938
"16","kor","PSUD","7","7","0.7075","0.203","6-7",63,0.721640516516356
"16","kor","PUD","7","6","0.6933","0.2064","6-7",63,0.717624154020041
"16","pol","PSUD","4","3","0.6636","0.3234","3-4",68,0.867447338878818
"16","pol","PUD","7","3","0.5857","0.3597","6-7",68,0.865732605451415
"16","por","PSUD","4","4","0.6173","0.2789","3-4",46,0.878409428922429
"16","por","PUD","4","5","0.4755","0.29","3-4",46,0.818473668258014
"16","rus","PSUD","4","4","0.6295","0.275","3-4",63,0.885432464706357
"16","rus","PUD","4","5","0.5381","0.259","3-4",63,0.865112255298433
"16","spa","PSUD","4","5","0.6118","0.1633","3-4",48,0.887693823451876
"16","spa","PUD","4","5","0.5043","0.2763","3-4",48,0.851897696989745
"16","swe","PSUD","4","4","0.592","0.3193","3-4",66,0.870734224656524
"16","swe","PUD","4","5","0.4691","0.3069","3-4",66,0.827917715915777
"16","tha","PSUD","7","4","0.7076","0.2838","6-7",45,0.855938767456884
"16","tha","PUD","4","3","0.6367","0.296","3-4",45,0.853468392245675
"16","tur","PSUD","7","6","0.6919","0.1959","6-7",57,0.682574674107215
"16","tur","PUD","7","8","0.6709","0.2036","6-7",57,0.684464244443315
"16","zho","PSUD","7","6","0.5894","0.2707","6-7",69,0.72030380058167
"16","zho","PUD","7","7","0.5249","0.288","6-7",69,0.727485760806243
"17","ara","PSUD","5","2","0.8048","0.379","5",57,0.902971393444558
"17","ara","PUD","7","5","0.7434","0.3708","6-7",57,0.892655536212356
"17","ces","PSUD","4","5","0.5827","0.1869","3-4",52,0.861666768845157
"17","ces","PUD","4","6","0.4948","0.2021","3-4",52,0.838697838958858
"17","deu","PSUD","4","4","0.4949","0.2412","3-4",43,0.736117754829024
"17","deu","PUD","4","4","0.4604","0.2234","3-4",43,0.69089063534838
"17","eng","PSUD","4","5","0.5632","0.26","3-4",63,0.883495000020079
"17","eng","PUD","4","7","0.4321","0.3188","3-4",63,0.84276972270011
"17","fin","PSUD","4","4","0.5941","0.2637","3-4",43,0.857288517945431
"17","fin","PUD","4","3","0.5778","0.3037","3-4",43,0.824021636957283
"17","fra","PSUD","4","3","0.6795","0.3396","3-4",54,0.909931285556421
"17","fra","PUD","4","5","0.4999","0.3003","3-4",54,0.866153246063026
"17","hin","PSUD","7","3","0.8586","0.2193","6-7",55,0.708920398932927
"17","hin","PUD","7","5","0.652","0.2058","6-7",55,0.718427210123394
"17","ind","PSUD","5","3","0.7206","0.3198","5",64,0.906350521578818
"17","ind","PUD","4","4","0.5863","0.2961","3-4",64,0.89406964509163
"17","isl","PSUD","7","6","0.6829","0.3411","6-7",52,0.9060211371391
"17","isl","PUD","4","3","0.5772","0.3459","3-4",52,0.87120433657473
"17","ita","PSUD","4","4","0.6244","0.2861","3-4",41,0.910799654476636
"17","ita","PUD","4","6","0.4865","0.2182","3-4",41,0.855994039918925
"17","jpn","PSUD","7","7","0.7289","0.21","6-7",29,0.783361714681274
"17","jpn","PUD","4","6","0.4934","0.1046","3-4",29,0.802527991856297
"17","kor","PSUD","7","8","0.7099","0.1953","6-7",58,0.726698739192396
"17","kor","PUD","7","9","0.6925","0.2001","6-7",58,0.720671853951748
"17","pol","PSUD","4","4","0.6416","0.235","3-4",56,0.878979717699342
"17","pol","PUD","4","4","0.5718","0.2679","3-4",56,0.859347356654472
"17","por","PSUD","4","4","0.6453","0.2584","3-4",49,0.901972314987451
"17","por","PUD","4","5","0.5068","0.2595","3-4",49,0.862665463400944
"17","rus","PSUD","4","4","0.6272","0.2821","3-4",56,0.889351486718173
"17","rus","PUD","4","5","0.5296","0.2889","3-4",56,0.873714486300353
"17","spa","PSUD","4","4","0.6239","0.2587","3-4",44,0.882691531686799
"17","spa","PUD","4","6","0.481","0.2351","3-4",44,0.852546814731571
"17","swe","PSUD","4","4","0.5955","0.2805","3-4",53,0.867751311097564
"17","swe","PUD","4","7","0.4556","0.1649","3-4",53,0.829869655021242
"17","tha","PSUD","5","2","0.8295","0.3265","5",49,0.867867140399335
"17","tha","PUD","5","2","0.764","0.3264","5",49,0.853626843715118
"17","tur","PSUD","7","7","0.684","0.185","6-7",63,0.659978114877142
"17","tur","PUD","7","8","0.6641","0.1899","6-7",63,0.655708731286828
"17","zho","PSUD","7","3","0.7152","0.2994","6-7",40,0.742004395219596
"17","zho","PUD","7","4","0.6015","0.306","6-7",40,0.731371962497753
"18","ara","PSUD","6","11","0.7247","0.2878","6-7",50,0.897071666851504
"18","ara","PUD","6","12","0.6604","0.2982","6-7",50,0.884312793514106
"18","ces","PSUD","4","4","0.5937","0.2486","3-4",57,0.852518221298436
"18","ces","PUD","4","5","0.5074","0.2294","3-4",57,0.832397630746633
"18","deu","PSUD","4","4","0.5031","0.2313","3-4",68,0.740522897036917
"18","deu","PUD","4","4","0.4729","0.2301","3-4",68,0.728084004046203
"18","eng","PSUD","4","4","0.5971","0.2951","3-4",51,0.891216539910968
"18","eng","PUD","3","4","0.4564","0.3705","3-4",51,0.859089773464909
"18","fin","PSUD","6","4","0.616","0.348","6-7",43,0.882032018129505
"18","fin","PUD","7","4","0.5669","0.3152","6-7",43,0.840400000565062
"18","fra","PSUD","4","4","0.6482","0.2416","3-4",53,0.908910174043826
"18","fra","PUD","4","5","0.5147","0.2894","3-4",53,0.888148153025504
"18","hin","PSUD","7","5","0.7227","0.1761","6-7",44,0.714305336484467
"18","hin","PUD","7","5","0.6702","0.1913","6-7",44,0.721119774317521
"18","ind","PSUD","6","11","0.7091","0.3025","6-7",54,0.905398839197637
"18","ind","PUD","7","5","0.6377","0.3161","6-7",54,0.891592065213132
"18","isl","PSUD","4","4","0.673","0.2305","3-4",51,0.910407488822682
"18","isl","PUD","4","4","0.5344","0.2898","3-4",51,0.86153014173053
"18","ita","PSUD","4","4","0.6552","0.2603","3-4",46,0.917348335858956
"18","ita","PUD","4","5","0.5172","0.2708","3-4",46,0.87964013872443
"18","jpn","PSUD","7","6","0.7785","0.1721","6-7",31,0.793103618472554
"18","jpn","PUD","4","6","0.5498","0.0247","3-4",31,0.811530949721904
"18","kor","PSUD","7","6","0.725","0.1754","6-7",54,0.717985207036737
"18","kor","PUD","7","6","0.7092","0.1803","6-7",54,0.714108928625632
"18","pol","PSUD","3","3","0.693","0.324","3-4",46,0.90859555122775
"18","pol","PUD","3","3","0.6124","0.3419","3-4",46,0.895173756459453
"18","por","PSUD","4","4","0.6259","0.2612","3-4",49,0.897393929433546
"18","por","PUD","4","5","0.5002","0.2538","3-4",49,0.866383129965339
"18","rus","PSUD","4","4","0.6179","0.2702","3-4",58,0.88684870501045
"18","rus","PUD","4","4","0.5479","0.2926","3-4",58,0.869894210321649
"18","spa","PSUD","4","4","0.6271","0.2775","3-4",52,0.903046096996365
"18","spa","PUD","4","5","0.487","0.2888","3-4",52,0.862885862507424
"18","swe","PSUD","4","4","0.5931","0.2987","3-4",55,0.883720848560816
"18","swe","PUD","4","5","0.4644","0.2936","3-4",55,0.842927895862843
"18","tha","PSUD","5","3","0.7037","0.2704","5",37,0.86803183824715
"18","tha","PUD","4","3","0.6343","0.2694","3-4",37,0.854660983862268
"18","tur","PSUD","7","5","0.6732","0.1872","6-7",53,0.684888404215876
"18","tur","PUD","7","5","0.6683","0.1886","6-7",53,0.690933253607756
"18","zho","PSUD","6","16","0.5762","0.2447","6-7",51,0.703992845172681
"18","zho","PUD","7","7","0.553","0.2431","6-7",51,0.707622568407398
"19","ara","PSUD","5","3","0.7051","0.2972","5",45,0.9062397120081
"19","ara","PUD","7","5","0.657","0.2978","6-7",45,0.900083595371017
"19","ces","PSUD","3","3","0.6422","0.3352","3-4",43,0.884936036075713
